tree_anzsic_2006,tree_isic_4,comment,prefixed_id,skos_uri
0510,0210,many-to-many correspondence,50c7c914-6865-463e-8f73-92356cbc4f64,http://www.w3.org/2004/02/skos/core#relatedMatch
0510,0240,many-to-many correspondence,52954927-3888-4269-a02f-6c6932b720c8,http://www.w3.org/2004/02/skos/core#relatedMatch
0521,0163,many-to-one correspondence,e465863c-9a76-456b-9747-ad9f0cb6d1e4,http://www.w3.org/2004/02/skos/core#broadMatch
0522,0162,many-to-one correspondence,e52470cf-f508-4296-87db-59a7f3a0e978,http://www.w3.org/2004/02/skos/core#broadMatch
0529,0161,one-to-many correspondence,2bfc892a-32c7-4d61-947d-42953c03ef0d,http://www.w3.org/2004/02/skos/core#narrowMatch
0529,0162,many-to-many correspondence,d5382af1-6133-47b9-a698-cd7e741cf84a,http://www.w3.org/2004/02/skos/core#relatedMatch
0529,0163,many-to-many correspondence,9bf8c765-7cb7-4e30-8b64-ee8bdd9a1f9f,http://www.w3.org/2004/02/skos/core#relatedMatch
0529,0164,one-to-many correspondence,54838603-15b8-4cc1-b4e8-bc921776b3bb,http://www.w3.org/2004/02/skos/core#narrowMatch
0529,0311,many-to-many correspondence,f46278b0-f04a-4292-a23b-90cbef559b02,http://www.w3.org/2004/02/skos/core#relatedMatch
0529,0312,many-to-many correspondence,c9dd2b39-aa33-4a6c-8c62-a627f63123b5,http://www.w3.org/2004/02/skos/core#relatedMatch
0600,0510,many-to-many correspondence,c6269f61-3c88-441f-94ad-c03631f61d06,http://www.w3.org/2004/02/skos/core#relatedMatch
0600,0520,one-to-many correspondence,0ea214c8-1cab-426d-8fbf-e5e92f338315,http://www.w3.org/2004/02/skos/core#narrowMatch
0600,0892,one-to-many correspondence,91858e66-bcb3-4e55-99a1-c1adf505e8fe,http://www.w3.org/2004/02/skos/core#narrowMatch
0700,0610,one-to-many correspondence,29b9a8ca-224e-433b-89d0-38ddbc232853,http://www.w3.org/2004/02/skos/core#narrowMatch
0700,0620,one-to-many correspondence,34c1a9f1-0e26-4cf0-9f0e-27102ef84d1f,http://www.w3.org/2004/02/skos/core#narrowMatch
0700,0910,many-to-many correspondence,4f4e68af-8215-4f58-9624-64c57c343239,http://www.w3.org/2004/02/skos/core#relatedMatch
0801,0710,one-to-one correspondence,32ecb23e-093f-428f-acb7-5c53efe989fd,http://www.w3.org/2004/02/skos/core#exactMatch
0802,0729,many-to-one correspondence,571c83a1-0327-4437-bbbd-f86f6fa7893c,http://www.w3.org/2004/02/skos/core#broadMatch
0803,0729,many-to-one correspondence,6e1cd4ea-5ac1-4523-8e71-0ce2ecd13774,http://www.w3.org/2004/02/skos/core#broadMatch
0804,0729,many-to-one correspondence,04eb6404-9973-4aed-9a4a-1ead32768dbb,http://www.w3.org/2004/02/skos/core#broadMatch
0805,0729,many-to-one correspondence,c3270fd0-eaf3-4e5e-a34a-2a8c9a3f8a8c,http://www.w3.org/2004/02/skos/core#broadMatch
0806,0729,many-to-one correspondence,d16add4b-5b39-460e-bb38-abf4b737bf65,http://www.w3.org/2004/02/skos/core#broadMatch
0807,0729,many-to-one correspondence,a4d811c8-269e-4ccf-867c-d1d35374f1fa,http://www.w3.org/2004/02/skos/core#broadMatch
0809,0721,one-to-many correspondence,adc0d029-3281-4060-b4b6-3e0b0096aaa6,http://www.w3.org/2004/02/skos/core#narrowMatch
0809,0729,many-to-many correspondence,68321dce-67d7-4d76-a2d0-80ca61af49ef,http://www.w3.org/2004/02/skos/core#relatedMatch
0911,0810,many-to-one correspondence,5d6d8036-e352-40dd-8092-80993587f55c,http://www.w3.org/2004/02/skos/core#broadMatch
0919,0810,many-to-one correspondence,36c092f8-d2d3-42aa-93b0-542348900f92,http://www.w3.org/2004/02/skos/core#broadMatch
0990,0810,many-to-many correspondence,4e5fd37e-f191-489d-ba5d-0104397a5231,http://www.w3.org/2004/02/skos/core#relatedMatch
0990,0891,one-to-many correspondence,fc6cf0e6-ec79-42aa-b6c5-ca83b1ac23a5,http://www.w3.org/2004/02/skos/core#narrowMatch
0990,0893,one-to-many correspondence,9755f978-998e-4fbb-b145-3bb5a7dc918d,http://www.w3.org/2004/02/skos/core#narrowMatch
0990,0899,one-to-many correspondence,2780ea70-52f6-402a-8547-366871d86221,http://www.w3.org/2004/02/skos/core#narrowMatch
1011,0910,many-to-one correspondence,8dc64460-4e50-465d-a845-a937d5067188,http://www.w3.org/2004/02/skos/core#broadMatch
1012,0990,many-to-one correspondence,e586af39-1d39-446c-a056-1f74543b4f1b,http://www.w3.org/2004/02/skos/core#broadMatch
1090,0910,many-to-many correspondence,6750ae04-a026-49c3-9e95-6365a081c1ac,http://www.w3.org/2004/02/skos/core#relatedMatch
1090,0990,many-to-many correspondence,21fad111-5a97-49cc-bee3-47387a18151d,http://www.w3.org/2004/02/skos/core#relatedMatch
1111,1010,many-to-many correspondence,952cfb5d-e675-400c-93dd-1ebcea1899b6,http://www.w3.org/2004/02/skos/core#relatedMatch
1111,1075,many-to-many correspondence,a13cf58b-5227-4ffc-b855-7d37a2624dfa,http://www.w3.org/2004/02/skos/core#relatedMatch
1112,1010,many-to-many correspondence,6a8a1d4a-a3eb-45b6-97f8-3b3aadd9bf8f,http://www.w3.org/2004/02/skos/core#relatedMatch
1112,1075,many-to-many correspondence,bf7ee90b-0810-4cac-9be1-401639c658ef,http://www.w3.org/2004/02/skos/core#relatedMatch
1113,1010,many-to-many correspondence,b929fe22-f406-4ac6-819a-b40c6989b8f4,http://www.w3.org/2004/02/skos/core#relatedMatch
